id,question,A,B,C,D,E,answer,category,macro category
58,quale dei seguenti fans ha minore potenziale gastrotossico?,acido acetil salicilico,diclofenac,indometacina,paracetamolo,sulindac,D,Area Preclinica 2016,farmacologia
96,la streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,salmonella,streptococcus faecalis,mycobacterium tubercolosis,treponema,chlamidia,B,Area Preclinica 2016,farmacologia
148,nel trattamento di una faringite stafilococcica l'antibiotico da scegliere è:,fenossimetilpenicillina,rifampicina,tobramicina,cotrimossazolo,vancomicina,A,Area Preclinica 2016,farmacologia
151,"le seguenti caratteristiche sono proprie dei farmaci ""generici"" tranne:",sono prodotti industrialmente.,sono utili per molteplici patologie in quanto non specifici.,sono bioequivalenti rispetto alla specialità di riferimento.,non sono protetti da brevetto.,sono senza obbligo di prescrizione.,B,Area Preclinica 2016,farmacologia
166,le ricette ripetibili:,"sono relative ai farmaci elencati nelle tabelle i, ii e iii del d.p.r. 309/90.",possono essere utilizzate per 3 mesi e fino ad un massimo di 5 volte.,hanno validità massima di 10 giorni.,possono essere utilizzate una sola volta.,sono rilasciate solo da centri ospedalieri o specialistici.,B,Area Preclinica 2016,farmacologia
239,il mannitolo è:,un anticoagulante orale,un diuretico osmotico,un beta-bloccante,un calcio-antagonista,un antidoto che chela il piombo,B,Area Preclinica 2016,farmacologia
277,per effetto di primo passaggio si intende:,il primo effetto che un farmaco determina quando ha raggiunto la sede d'azione,gli effetti neurologici che un farmaco dà nel suo primo passaggio nel sistema nervoso centrale,l'estesa biotrasformazione che il farmaco subisce nel suo primo passaggio attraverso il fegato,l'estesa eliminazione del farmaco nel suo primo passaggio attraverso il rene,l'effeto intestinale di un farmaco somministrato per os,C,Area Preclinica 2016,farmacologia
378,quale tra queste affermazioni riguardante i fluorochinoloni non è vera?,sono antibiotici concentrazione dipendente,sono attivi contro i gram negativi,hanno una buona biodisponibilità orale,sono controindicati in età pediatrica,sono indicati nelle infezioni del tratto genito-urinario,B,Area Preclinica 2016,farmacologia
657,in quale processo gioca un ruolo essenziale la vitamina k?,prevenire le trombosi,biosintesi della protrombina e della proconvertina,mentenimento dell' integrita' della retina,prevenire la stasi biliare,trasporto di elettroni,B,Area Preclinica 2016,fisiologia
1076,"conoscendo il volume telediastolico, possiamo calcolare il volume di eiezione ventricolare sapendo:",la frequenza cardiaca,la contrattilita' ventricolare,il volume telesistolico,il postcarico,il ritorno venoso,A,Area Preclinica 2016,fisiologia
1104,l'aria dell'encefalo importante per la postura:,corteccia motoria,nuclei della base,tronco dell'encefalo,cervelletto,sistema limbico,C,Area Preclinica 2016,fisiologia
1155,per quale delle seguenti caratteristiche il nodo seno-atriale è il normale pacemaker del cuore rispetto al nodo atrio-ventricolare?,la sua posizione,la sua attività autogena di scarica,la sua innervazione,la sua frequenza di scarica intrinseca,l'ampiezza del suo potenziale d'azione,B,Area Preclinica 2016,fisiologia
1164,quali elementi vengono alterati dal blocco dell'attività dell'anidrasi carbonica a livello delle cellule dei tubuli renali?,aminoacidi,acido lattico,acqua,bicarbonati,carboidrati,B,Area Preclinica 2016,fisiologia
1228,l'adrenalina determina uno degli effetti farmacologici appresso indicati. indicare quale,ipoglicemia,iperglicemia,riduzione dei valori della pressione arteriosa sistolica,bradicardia,broncocostrizione,B,Area Preclinica 2016,fisiologia
1243,"un figlio di genitori consanguinei, rispetto a un figlio di genitori non imparentati, ha maggiori probabilità di:",avere figli malati,essere affetto da morbo di cooley,essere affetto da sindrome di down,essere affetto da distrofia muscolare di duchenne,essere affetto da corea di huntington,B,Area Preclinica 2016,fisiologia
1250,i figli di una coppia di primi cugini sani hanno un rischio aumentato di essere affetti da:,patologie cromosomiche,patologie mendeliane di tipo autosomico recessivo,patologie mendeliane di tipo autosomico dominante,infertilità primaria,patologie mitocondriali,B,Area Preclinica 2016,fisiologia
1316,"qual e' il rischio per una donna fenotipicamente sana e il cui padre e' affetto da emofilia a (malattia recessiva, legata al cromosoma x) di avere un figlio affetto dalla stessa malattia del nonno?",100%,75%,50%,25%,uguale a quella della popolazione,D,Area Preclinica 2016,fisiologia
1358,"un uomo di 48 anni al termine di un viaggio in corriera da parigi a roubaix per una strada tradizionale ad acciotolato, all'arrivo in albergo, manifesta dolore a sede lombo-iliaca sinistra, molto intenso, continuo con parossismi, irradiato anteriormente e medialmente fino allo scroto ed alla radice della coscia di sinistra con eliminazione di poca urina molto densa. qual è il primo sospetto diagnostico ?",diverticolite del colon discendente,colica renale sinistra,diverticolite di meckel,ipertrofia prostatica benigna,ca. del retto,B,Area Preclinica 2016,fisiologia
1430,l'assenza del riflesso corneale puo' essere associata ad una lesione:,del iii° nervo cranico,del sistema afferente del vii° nervo cranico,del ii° nervo cranico,del tratto ottico,del sistema afferente del v° nervo cranico,E,Area Preclinica 2016,fisiologia
1514,che cosa significa disfagia?,deglutizione dolorosa,rigurgito di cibo,sensazione di difficoltà al transito del cibo in faringe od in esofageo,impossibilità a deglutire i cibi solidi,senso di ripulsa per determinati cibi,C,Area Preclinica 2016,fisiologia
1558,l'ipofisi posteriore produce tutti i seguenti tranne,tsh,ossitocina,adh,lh,angiotensina,E,Area Preclinica 2016,fisiologia
1671,tutte le seguenti affermazioni riguardo alle vertebre cervicalisono corrette tranne:,ogni processo traverso ha un forame,l'atlante non ha il corpo né il processo spinoso,nessuno dei processi spinosi può essere palpato,la maggior parte delle vertebre cervicali ha processi spinosi bifidi,esiste una articolazione sinoviale (diartrosi) tra il dente dell'epistrofeo e l'arco anteriore dell'atlante,C,Area Preclinica 2016,morfologia
1682,le ovaje sono situate:,nella piccola pelvi davanti alla articolazione sacro-iliaca,nella grande pelvi,nel pavimento della piccola pelvi,davanti alla vescica urinaria,nella grande pelvi in posizione retroperitoneale,A,Area Preclinica 2016,morfologia
1746,quali delle seguenti strutture possono essere compresse da una massa occupante spazio dell'apice polmonare:,"l'a. succlavia, la v. succlavia ed il plesso brachiale",la v. succlavia ed il plesso brachiale,l'a. succlavia ed il plesso brachiale,l'a. ascellare ed il plesso brachiale,l'a. succlavia ed il plesso cervicale,C,Area Preclinica 2016,morfologia
1788,la tunica albuginea riveste ...?,testicolo,epididimo,scroto,cordone ombelicale,uretere,D,Area Preclinica 2016,morfologia
1789,qual'e' il legamento teso tra il contorno del foro occipitale e l'atlante,la membrana tettoria,il legamento giallo,il legamento dell'apice del dente,il legamento trasverso dell'atlante,la membrana atlanto-occipitale,C,Area Preclinica 2016,morfologia
1860,quale tra i seguenti ormoni interviene nella regolazione del metabolismo del calcio:,progesterone,paratormone,prolattina,lh,testosterone,B,Area Preclinica 2016,morfologia
1938,quale tra le seguenti non è una caratteristica delle esotossine?,"sono prodotte ad alcuni batteri gram-positivi e, talvolta, anche dalle specie gram - negative",hanno azione tossica più potente di quella delle endotossine,il loro potere tossico è neutralizzato dall' anticorpo corrispondente,sono di natura lipopolisaccaridica,la loro potenza è variabile a seconda delle specie animali in cui sono saggiate,E,Area Preclinica 2016,patologia
2008,quale di queste è una caratteristica dei micoplasmi?,richiedono un' atmosfera arricchita in ossigeno,hanno dimensioni simili alle cellule eucaristiche,grande invasività del circolo ematico,assenza della componente peptidoglicanica negli involucri ester,un indice tas molto elevato,D,Area Preclinica 2016,patologia
2053,il microrganismo che provoca la malattia del sonno è in possesso di quale delle seguenti caratteristiche?,un ciliato,un sarcodino,un flagellato,un protozoo,uno sporozoo,C,Area Preclinica 2016,patologia
2156,la pervieta' del forame ovale e' la forma piu' comune di difetto:,interatriale,interventricolare,del dotto arterioso,del sptum trunci,valvolare primitivo,A,Area Preclinica 2016,patologia
2433,la tossiemia e':,la presenza di focolai infettivi e di germi non solo in circolo ma anche in vari organi e tessuti,la presenza di batteri in circolo senza manifestazioni cliniche,la presenza di un elevato tasso di tossine in circolo,la presenza di batteri e delle loro tossine in circolo con manifestazioni cliniche,una flogosi acuta da germi gram-negativi,B,Area Preclinica 2016,patologia
2462,la capacita' delle cellule tumorali di eludere il sistema immunitario e' testimoniata da uno dei seguenti meccanismi:,sottoregolazione dell'espressione di molecole mhc classe i da parte delle cellule tumorali,maggior produzione del fattore di necrosi tumorale da parte dei macrofagi,inibizione della proliferazione di cellule tumorali mediata da interferone-gamma,produzione di anticorpi diretti contro gli antigeni tumore-specifici,stimolazione dell'apoptosi di cellule tumorali dovuta ad una maggiore espressione di bax,A,Area Preclinica 2016,patologia
2472,una delle seguenti affezioni permette diagnosi di aids conclamata:,linfoadenopatia cronica generalizzata,candidosi orale,dermatite seborroica,linfogranuloma inguinale,polmonite da pneumocystis carinii,B,Area Preclinica 2016,patologia
2477,la febbre nella brucellosi e':,continuad,remittente,subcontinua,ondulante,intermittente,D,Area Preclinica 2016,patologia
2483,il riscontro casuale di una glicemia a digiuno superiore a 140 mg/dl in un soggetto che non consuma farmaci:,è sufficiente per fare diagnosi certa di diabete,non è sufficiente per fare diagnosi certa di diabete,vi induce a fare un'anamnesi accurata delle abitudini alimentari del paziente,richiedete una curva da carico di glucosio,fate ripetere l'esame a distanza di 1 mese,A,Area Preclinica 2016,patologia
2503,"la sindrome clinica caratterizzata da diarrea acquosa, ipocaliemia e acloridria è normalmente sostenuta da?",carcinoidi,tumori a cellule delta del pancreas,lipomi,feocromocitomi,gastronomi,C,Area Preclinica 2016,patologia
2564,il tempo di protrombina (pt o tempo di quick) valuta:,la via estrinseca e comune della coagulazione,la via estrinseca della coagulazione,la via intrinseca e comune della coagulazione,la via comune della coagulazione,il numero di piastrine,A,Area Preclinica 2016,patologia
2591,una caratteristica dell' insufficienza cardiaca sinistra e':,necrosi centrolobulare del fegato,presenza di macrofagi pieni di emosiderina negli alveoli polmonari,ascite,trasudazione intra-alveolare,ipertrofia del ventricolo sinistro,D,Area Preclinica 2016,patologia
2602,una meningite con prevalenza dei linfociti nel liquor fa pensare in primo luogo ad un'infezione da:,haemophilus influienzae,neisseria meningitidis,stafilococco aureo,diplococco pneumonite,mycobacterium tubercolosis,E,Area Preclinica 2016,patologia
2614,non e' una complicanza della circolazione extracorporea:,sindrome da bassa gittat,aritmie cardiache,insufficienza respiratoria,ipercoagulabilita' ematica,oliguria,D,Area Preclinica 2016,patologia
2675,dopo quante ore dall'ischemia comincia ad evidenziarsi la necrosi del miocardio ?,2-4 ore,4-10 ore,10-18 ore,18-30 ore,30-50 ore,D,Area Preclinica 2016,patologia
2772,la poliposi adenomatosa familiare (fap) è:,una sindroma tumorale ereditaria autosomica recessiva con delezione del gene apc,una sindrome tumorale ereditaria autosomica dominante con mutazioni del gene apc,una malattia ereditaria legata al cromosoma x,una malattia autosomica dominante con instabilità dei microsatelliti,una variante della sindrome di lynch,B,Area Preclinica 2016,patologia
2801,"tutte le seguenti affermazioni sulla pancreatite cronica sono corrette, tranne:",si associa a fibrosi pancreatica;,si associa a calcoli dei dotti pancreatici;,presenta elevato rischio di carcinoma;,si associa a steatonecrosi focale,presenta frequenti dilatazioni dei dotti pancreatici.,C,Area Preclinica 2016,patologia
2812,quale delle seguenti alterazioni non fa parte dello spettro delle lesioni istologiche osservabili nella malattia celiaca?,atrofia dei villi del tenue,aumento del numero dei linfociti t intrepiteliali nel tenue,aumento del numero dei linfociti b intrepiteliali,alterazioni citopatiche degli enterociti,colite linfocitaria,C,Area Preclinica 2016,patologia
2904,"tutte le seguenti affermazioni sull'eutanasia sono corrette, tranne:",il medico può effettuare o favorire trattamenti diretti a procurare la morte solo su richiesta ripetuta del malato,il medico può effettuare o favorire trattamenti diretti a provocare la morte solo in caso di pazienti non coscienti su esplicita richiesta del parente più prossimo,non praticare sempre e comunque tutte le cure possibili in qualsiasi condizione clinica equivale all'eutanasia,il medico anche su esplicita richiesta di paziente cosciente non deve effettuare o favorire trattamenti diretti a provocare la morte,"il medico può effettuare o favorire trattamenti diretti a provocare la morte di pazienti non coscienti solo se è presente una indicazione scritta dal paziente, stesa quando era ancora cosciente",D,Area Preclinica 2016,prevenzione e deontologia medica
2928,se il cittadino richiede il rilascio di un certificato relativo al suo stato di salute: (art. 24),il medico non può rifiutare il rilascio,il medico può rilasciare un certificato solo previo pagamento,il medico deve rilasciare solo i certificati per uso fiscale,può rilasciarlo solo se autorizzato dal garante per la privacy,può rilasciarlo solo se cura il paziente da almeno un anno,A,Area Preclinica 2016,prevenzione e deontologia medica
2938,il codice deontologico nell'esprimersi su pratiche mediche definite non convenzionali puntualizza alcuni principi. tutti i seguenti sono previsti nel codice deontologico tranne: (art.15 cdm 2014),il medico che le pratica ne prende diretta e non delegabile responsabilità professionale,qualsiasi terapia non convenzionale non deve sottrarre al cittadino a trattamenti di provata efficacia,per effettuare terapia non convenzionale bisogna essere autorizzati dall'ordine dei medici,qualsiasi terapia non può sottrarre dall'applicazione del consenso,e' vietato per un medico collaborare con chi esercita abusivamente la professione anche nel settore delle cosiddette pratiche alternative,C,Area Preclinica 2016,prevenzione e deontologia medica
2940,il medico deve astenersi dall'ostinazione in trattamenti non proporzionati (art. 16 cdm 2014),quando non si possono attendere benefici per la salute e/o miglioramenti della qualità della vita,quando i trattamenti sono eccessivamente costosi,quando gli effetti collaterali dei farmaci non sono prevedibili,quando non vi è un pare positivo unanime nella parentela di i grado,quando le terapie prescrivibili sono di difficile reperimento,A,Area Preclinica 2016,prevenzione e deontologia medica
2944,"qualora si verificasse un contrasto tra le norme del codice deontologico e le norme interne all'ente da cui dipende ,il medico (art.68 cdm 2014)",deve chiedere l'intervento dell' ordine dei medici,deve chiedere l'intervento dell'ordine solo se dipendente da ente pubblico,non può rivolgersi all' ordine dei medici essendo vigenti le norme dell'ente,in attesa della soluzione della vertenza può sempre interrompere il servizio,è opzionale chiedere interventi esterni all'ente,A,Area Preclinica 2016,prevenzione e deontologia medica
3041,il compenso del medico (art.52):,deve essere subordinato ai risultati delle prestazioni effettuate,deve essere concordato preventivamente col paziente,deve rispettare i limiti minimi ma non i massimi stabiliti dall'ordine provinciale,il medico non può prestare gratuitamente la sua opera,le tariffe di ciascun medico devono essere pubblicate sul bollettino regionale,B,Area Preclinica 2016,prevenzione e deontologia medica
3076,la ricerca scientifica: (art.45),si avvale della sperimentazione sull'animale ma non sull'uomo,si avvale della sperimentazione sull'uomo ma non sull'animale,solo in laboratorio si avvale della sperimentazione sull'animale e sull'uomo,si avvale della sperimentazione,non si avvale della sperimentazione,C,Area Preclinica 2016,prevenzione e deontologia medica
3079,"il medico, alla morte del paziente, rispetto al segreto professionale (art. 10 del c.d.):",è tenuto ugualmente al segreto,può esimersi dal segreto solo per i familiari di primo grado,deve esimersi dal segreto per l'autorità giudiziaria,non è più tenuto al segreto,non più è tenuto al segreto solo per il figlio maggiore,A,Area Preclinica 2016,prevenzione e deontologia medica
3183,la ricetta medica ripetibile:,è compilata dal medico più volte,è valida per un anno,è sempre valida,è valida per non più di due volte,ha un periodo di validità di tre mesi,E,Area Preclinica 2016,prevenzione e deontologia medica
3219,i presidi ospedalieri sono:,tutti gli ospedali con almeno 150 posti letto,ospedali integrati alla usl ma con autonomia economico-finanziaria,ospedali in cui insiste la prevalenza del percorso formativo del triennio clinico della facolta' di medicina,ospedali gestiti da privati,ospedali di rilievo nazionale e di alta specializzazione,B,Area Preclinica 2016,prevenzione e deontologia medica
3227,tutte le seguenti affermazioni sull'epatite a sono esatte eccetto:,e' una tipica malattia a trasmissione feco-orale,le sorgenti di infezioni sono l'uomo e gli animali malati,"in italia, ci sono state epidemie anche recenti che hanno interessato soprattutto la puglia","i principali fattori di rischio per la malattia sono il consumo di mitili, i viaggi, il contatto con altri casi o con acqua contaminata","non esistendo alcun vaccino, la principale prevenzione consiste nell'attuazione di norme igieniche generali",B,Area Preclinica 2016,prevenzione e deontologia medica
3301,il dipartimento di prevenzione (o di sanita' pubblica):,e' una struttura autonoma direttamente gestita dalle regioni che si occupa di tutela della salute collettiva,e' struttura operativa dell'usl che garantisce la tutela della salute collettiva,e' una struttura di rilievo nazionale che si occupa di salute pubblica e protezione dell'ambiente,e' ente senza autonomia organizzativa e contabile che emana ordinanze in materia di igiene e sanita',e' stato abolito dal d.lgs. 502/92 e successive modifiche,B,Area Preclinica 2016,prevenzione e deontologia medica
95,la streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,salmonella,streptococcus faecalis,mycobacterium tubercolosis,treponema,chlamydia,B,Area Preclinica 2017,farmacologia
149,"le seguenti caratteristiche sono proprie dei farmaci ""generici"" tranne:",sono prodotti industrialmente.,sono utili per molteplici patologie in quanto non specifici.,sono bioequivalenti rispetto alla specialità di riferimento.,non sono protetti da brevetto.,sono senza obbligo di prescrizione.,C,Area Preclinica 2017,farmacologia
236,il mannitolo è usato come:,un anticoagulante orale,un diuretico osmotico,un beta-bloccante,un calcio-antagonista,un antidoto che chela il piombo,B,Area Preclinica 2017,farmacologia
274,per effetto di primo passaggio si intende:,il primo effetto che un farmaco determina quando ha raggiunto la sede d'azione,gli effetti neurologici che un farmaco dà nel suo primo passaggio nel sistema nervoso centrale,l'estesa biotrasformazione che il farmaco subisce nel suo primo passaggio attraverso il fegato,l'estesa eliminazione del farmaco nel suo primo passaggio attraverso il rene,l'effetto intestinale di un farmaco somministrato per os,C,Area Preclinica 2017,farmacologia
375,quale tra queste affermazioni riguardante i fluorochinoloni non è vera?,sono antibiotici concentrazione dipendente,sono attivi contro i gram negativi,hanno una buona biodisponibilità orale,sono controindicati in età pediatrica,sono indicati nelle infezioni del tratto genito-urinario,D,Area Preclinica 2017,farmacologia
654,in quale processo gioca un ruolo essenziale la vitamina k?,prevenire le trombosi,biosintesi della protrombina e della proconvertina,mantenimento dell' integrita' della retina,prevenire la stasi biliare,trasporto di elettroni,B,Area Preclinica 2017,fisiologia
1073,"conoscendo il volume telediastolico, possiamo calcolare il volume di eiezione ventricolare sapendo:",la frequenza cardiaca,la contrattilita' ventricolare,il volume telesistolico,il postcarico,il ritorno venoso,C,Area Preclinica 2017,fisiologia
1101,l'area dell'encefalo importante per la postura:,corteccia motoria,nuclei della base,tronco dell'encefalo,cervelletto,sistema limbico,C,Area Preclinica 2017,fisiologia
1223,l'adrenalina determina uno degli effetti farmacologici di seguito indicati. indicare quale,ipoglicemia,iperglicemia,riduzione dei valori della pressione arteriosa sistolica,bradicardia,broncocostrizione,B,Area Preclinica 2017,fisiologia
1350,"un uomo di 48 anni al termine di un viaggio in corriera da parigi a roubaix per una strada tradizionale ad acciotolato, all'arrivo in albergo, manifesta dolore a sede lombo-iliaca sinistra, molto intenso, continuo con parossismi, irradiato anteriormente e medialmente fino allo scroto ed alla radice della coscia di sinistra con eliminazione di poca urina molto densa. qual è il primo sospetto diagnostico ?",diverticolite del colon discendente,colica renale sinistra,diverticolite di meckel,ipertrofia prostatica benigna,carcinoma del retto,B,Area Preclinica 2017,fisiologia
1422,l'assenza del riflesso corneale puo' essere associata ad una lesione:,del iii nervo cranico,del sistema afferente del vii nervo cranico,del ii nervo cranico,del tratto ottico,del sistema afferente del v nervo cranico,E,Area Preclinica 2017,fisiologia
1506,che cosa significa disfagia?,deglutizione dolorosa,rigurgito di cibo,sensazione di difficoltà al transito del cibo in faringe o in esofageo,impossibilità a deglutire i cibi solidi,senso di ripulsa per determinati cibi,C,Area Preclinica 2017,fisiologia
1662,tutte le seguenti affermazioni riguardo alle vertebre cervicali sono corrette tranne:,ogni processo traverso ha un forame,l'atlante non ha il corpo né il processo spinoso,nessuno dei processi spinosi può essere palpato,la maggior parte delle vertebre cervicali ha processi spinosi bifidi,esiste una articolazione sinoviale (diartrosi) tra il dente dell'epistrofeo e l'arco anteriore dell'atlante,C,Area Preclinica 2017,morfologia
1778,la tunica albuginea riveste ...?,testicolo,epididimo,scroto,cordone ombelicale,uretere,A,Area Preclinica 2017,morfologia
1779,qual'e' il legamento teso tra il contorno del foro occipitale e l'atlante,la membrana tettoria,il legamento giallo,il legamento dell'apice del dente,il legamento trasverso dell'atlante,la membrana atlanto-occipitale,E,Area Preclinica 2017,morfologia
1850,quale tra i seguenti ormoni interviene nella regolazione del metabolismo del calcio?,progesterone,paratormone,prolattina,lh,testosterone,B,Area Preclinica 2017,morfologia
1928,quale tra le seguenti non è una caratteristica delle esotossine?,"sono prodotte ad alcuni batteri gram-positivi e, talvolta, anche dalle specie gram - negative",hanno azione tossica più potente di quella delle endotossine,il loro potere tossico è neutralizzato dall' anticorpo corrispondente,sono di natura lipopolisaccaridica,la loro potenza è variabile a seconda delle specie animali in cui sono saggiate,D,Area Preclinica 2017,patologia
1998,quale di queste è una caratteristica dei micoplasmi?,richiedono un' atmosfera arricchita in ossigeno,hanno dimensioni simili alle cellule eucariotiche,grande invasività del circolo ematico,assenza della componente peptidoglicanica negli involucri ester,un indice tas molto elevato,D,Area Preclinica 2017,patologia
2145,la pervieta' del forame ovale e' la forma piu' comune di difetto:,interatriale,interventricolare,del dotto arterioso,del septum trunci,valvolare primitivo,A,Area Preclinica 2017,patologia
2450,la capacita' delle cellule tumorali di eludere il sistema immunitario e' testimoniata da uno dei seguenti meccanismi:,sottoregolazione dell'espressione di molecole mhc di classe i da parte delle cellule tumorali,maggior produzione del fattore di necrosi tumorale da parte dei macrofagi,inibizione della proliferazione di cellule tumorali mediata da interferone-gamma,produzione di anticorpi diretti contro gli antigeni tumore-specifici,stimolazione dell'apoptosi di cellule tumorali dovuta ad una maggiore espressione di bax,A,Area Preclinica 2017,patologia
2464,la febbre nella brucellosi e':,continua,remittente,subcontinua,ondulante,intermittente,D,Area Preclinica 2017,patologia
2470,il riscontro casuale di una glicemia a digiuno superiore a 140 mg/dl in un soggetto che non consuma farmaci:,è sufficiente per fare diagnosi certa di diabete,non è sufficiente per fare diagnosi certa di diabete,vi induce a fare un'anamnesi accurata delle abitudini alimentari del paziente,richiedete una curva da carico di glucosio,fate ripetere l'esame a distanza di 1 mese,B,Area Preclinica 2017,patologia
2490,"la sindrome clinica caratterizzata da diarrea acquosa, ipocaliemia e acloridria è normalmente sostenuta da?",carcinoidi,tumori a cellule delta del pancreas,lipomi,feocromocitomi,gastronomi,B,Area Preclinica 2017,patologia
2551,il tempo di protrombina (pt o tempo di quick) valuta:,la via estrinseca e comune della coagulazione,la via estrinseca della coagulazione,la via intrinseca e comune della coagulazione,la via comune della coagulazione,il numero di piastrine,B,Area Preclinica 2017,patologia
2588,una meningite con prevalenza dei linfociti nel liquor fa pensare in primo luogo ad un'infezione da:,haemophilus influenzae,neisseria meningitidis,stafilococco aureo,diplococco pneumoniate,mycobacterium tuberculosis,E,Area Preclinica 2017,patologia
2600,non e' una complicanza della circolazione extracorporea:,sindrome da bassa gittata,aritmie cardiache,insufficienza respiratoria,ipercoagulabilita' ematica,oliguria,D,Area Preclinica 2017,patologia
2757,la poliposi adenomatosa familiare è:,una sindroma tumorale ereditaria autosomica recessiva con delezione del gene apc,una sindrome tumorale ereditaria autosomica dominante con mutazioni del gene apc,una malattia ereditaria legata al cromosoma x,una malattia autosomica dominante con instabilità dei microsatelliti,una variante della sindrome di lynch,B,Area Preclinica 2017,patologia
2796,quale delle seguenti alterazioni non fa parte dello spettro delle lesioni istologiche osservabili nella malattia celiaca?,atrofia dei villi del tenue,aumento del numero dei linfociti t intraepiteliali nel tenue,aumento del numero dei linfociti b intraepiteliali,alterazioni citopatiche degli enterociti,colite linfocitaria,C,Area Preclinica 2017,patologia
2888,"tutte le seguenti affermazioni sull'eutanasia sono sbagliate, tranne:",il medico può effettuare o favorire trattamenti diretti a procurare la morte solo su richiesta ripetuta del malato,il medico può effettuare o favorire trattamenti diretti a provocare la morte solo in caso di pazienti non coscienti su esplicita richiesta del parente più prossimo,non praticare sempre e comunque tutte le cure possibili in qualsiasi condizione clinica equivale all'eutanasia,il medico anche su esplicita richiesta di paziente cosciente non deve effettuare o favorire trattamenti diretti a provocare la morte,"il medico può effettuare o favorire trattamenti diretti a provocare la morte di pazienti non coscienti solo se è presente una indicazione scritta dal paziente, stesa quando era ancora cosciente",D,Area Preclinica 2017,prevenzione e deontologia medica
2912,se il cittadino richiede il rilascio di un certificato relativo al suo stato di salute: (art. 24 cdm 2014),il medico non può rifiutare il rilascio,il medico può rilasciare un certificato solo previo pagamento,il medico deve rilasciare solo i certificati per uso fiscale,può rilasciarlo solo se autorizzato dal garante per la privacy,può rilasciarlo solo se cura il paziente da almeno un anno,A,Area Preclinica 2017,prevenzione e deontologia medica
2922,il codice deontologico nell'esprimersi su pratiche mediche definite non convenzionali puntualizza alcuni principi. tutti i seguenti sono previsti nel codice deontologico tranne: (art.15 cdm 2014),il medico che le pratica ne prende diretta e non delegabile responsabilità professionale,qualsiasi terapia non convenzionale non deve sottrarre al cittadino trattamenti di provata efficacia,per effettuare terapia non convenzionale bisogna essere autorizzati dall'ordine dei medici,qualsiasi terapia non si può sottrarre dall'applicazione del consenso,e' vietato per un medico collaborare con chi esercita abusivamente la professione anche nel settore delle cosiddette pratiche alternative,C,Area Preclinica 2017,prevenzione e deontologia medica
2924,il medico deve astenersi dall'ostinazione in trattamenti non proporzionati (art. 16 cdm 2014),quando non si possono attendere benefici per la salute e/o miglioramenti della qualità della vita,quando i trattamenti sono eccessivamente costosi,quando gli effetti collaterali dei farmaci non sono prevedibili,quando non vi è un parere positivo unanime nella parentela di i grado,quando le terapie prescrivibili sono di difficile reperimento,A,Area Preclinica 2017,prevenzione e deontologia medica
2928,"qualora si verificasse un contrasto tra le norme del codice deontologico e le norme interne all'ente da cui dipende ,il medico (art.68 cdm 2014):",deve chiedere l'intervento dell' ordine dei medici,deve chiedere l'intervento dell'ordine solo se dipendente da ente pubblico,non può rivolgersi all' ordine dei medici essendo vigenti le norme dell'ente,in attesa della soluzione della vertenza può sempre interrompere il servizio,è opzionale chiedere interventi esterni all'ente,A,Area Preclinica 2017,prevenzione e deontologia medica
3025,il compenso del medico (art.52 cdm 2014):,deve essere subordinato ai risultati delle prestazioni effettuate,deve essere concordato preventivamente col paziente,deve rispettare i limiti minimi ma non i massimi stabiliti dall'ordine provinciale,il medico non può prestare gratuitamente la sua opera,le tariffe di ciascun medico devono essere pubblicate sul bollettino regionale,B,Area Preclinica 2017,prevenzione e deontologia medica
3062,"il medico, alla morte del paziente, rispetto al segreto professionale (art. 10 cdm 2014):",è tenuto ugualmente al segreto,può esimersi dal segreto solo per i familiari di primo grado,deve esimersi dal segreto per l'autorità giudiziaria,non è più tenuto al segreto,non più è tenuto al segreto solo per il figlio maggiore,A,Area Preclinica 2017,prevenzione e deontologia medica
3281,il dipartimento di prevenzione (o di sanita' pubblica):,e' una struttura autonoma direttamente gestita dalle regioni che si occupa di tutela della salute collettiva,e' una struttura operativa dell'usl che garantisce la tutela della salute collettiva,e' una struttura di rilievo nazionale che si occupa di salute pubblica e protezione dell'ambiente,e' un ente senza autonomia organizzativa e contabile che emana ordinanze in materia di igiene e sanita',e' stato abolito dal d.lgs. 502/92 e successive modifiche,B,Area Preclinica 2017,prevenzione e deontologia medica
